,titles
0,Inu x Boku SS
1,Inu X Boku Secret Service
2,妖狐×僕SS
3,Youko x Boku SS
4,Seto no Hanayome
5,My Bride is a Mermaid
6,瀬戸の花嫁
7,The Inland Sea Bride
8,Shugo Chara!! Doki
9,Shugo Chara!! Doki
10,しゅごキャラ！！どきっ
11,"Shugo Chara Ninenme, Shugo Chara! Second Year"
12,Princess Tutu
13,Princess Tutu
14,プリンセスチュチュ
16,Bakuman. 3rd Season
17,Bakuman.
18,バクマン。
19,Bakuman Season 3
20,Yume-iro Pâtissière
22,夢色パティシエール
23,"Yumeiro Patissiere, YumePati, Dream-Colored Pastry Chef, Yumeiro Pâtissière"
24,Ultra Maniac
25,Ultramaniac - Magical Girl
26,ウルトラマニアック
28,Shakugan no Shana II (Second)
29,Shakugan no Shana: Season II
30,灼眼のシャナII –Second–
31,Shakugan no Shana 2
32,Nodame Cantabile: Paris-hen
34,のだめカンタービレ 巴里編
35,"Nodame Cantabile Paris Chapter, Nodame Cantabile Pari-hen"
36,Ouran Koukou Host Club
37,Ouran High School Host Club
38,桜蘭高校ホスト部
39,"Ohran Koko Host Club, Ouran Koukou Hosutobu, Ouran Koukou Host Bu, OHSHC"
40,Junjou Romantica 2
41,Junjo Romantica 2
42,純情ロマンチカ2(に)
43,"Junjou Romantica Second Season, Junjyou Romantica II"
44,Kaichou wa Maid-sama!
45,Maid Sama!
46,会長はメイド様!
47,Class President is a Maid!
48,Sekaiichi Hatsukoi 2
49,Sekai Ichi Hatsukoi - World&#039;s Greatest First Love 2
50,世界一初恋 2
51,"Sekai-ichi Hatsukoi 2, Sekai&#039;ichi Hatsukoi 2"
52,Tonari no Kaibutsu-kun
53,My Little Monster
54,となりの怪物くん
55,"Tonari no Kaibutsukun, The Monster Next Door, My Neighbor Monster-kun"
56,Bleach
57,Bleach
58,BLEACH - ブリーチ -
60,Chobits
61,Chobits
62,ちょびっツ
64,Kimi ni Todoke
65,Kimi ni Todoke: From Me to You
66,君に届け
67,Reaching You
68,Naruto: Shippuuden
69,Naruto: Shippuden
70,ナルト- 疾風伝
71,Naruto Hurricane Chronicles
72,Ranma ½
73,Ranma ½
74,らんま1/2
75,"Ranma 1/2, Ranma ½ Nettou Hen"
76,Toradora!
77,Toradora!
78,とらドラ！
79,Tiger X Dragon
80,Bakuman. 2nd Season
81,Bakuman.
82,バクマン。2ndシーズン
83,Bakuman Season 2
84,Gakuen Alice
85,Gakuen Alice
86,学園アリス
87,"Campus Alice, Alice Academy"
88,Skip Beat!
89,Skip Beat!
90,スキップ・ビート！
92,Chihayafuru 2
94,ちはやふる 2
95,Chihayafull 2
96,Shounen Onmyouji
97,Shonen Onmyoji
98,少年陰陽師
99,"The Young Spirit Master, Teenager Onmyoji, Shonen Onmyouji"
100,Chihayafuru
101,Chihayafuru
102,ちはやふる
103,Chihayafull
104,Itazura na Kiss
105,ItaKiss
106,イタズラなKiss
107,"Naughty Kiss, Teasing Kiss, Mischievous Kiss, Itazurana Kiss, It Started With A Kiss"
108,Beelzebub
109,Beelzebub
110,べるぜバブ
112,Hanasakeru Seishounen
114,花咲ける青少年
115,Hanasakeru Seishonen
116,SKET Dance
117,SKET Dance
118,スケットダンス
120,B-gata H-kei
121,Yamada&#039;s First Time: B Gata H Kei
122,B型H系
124,Crayon Shin-chan
125,Shin Chan
126,クレヨンしんちゃん
128,Fruits Basket
129,Fruits Basket
130,フルーツバスケット
131,Furuba
132,Saiunkoku Monogatari
133,The Story of Saiunkoku
134,彩雲国物語
135,"The Tale of Saiun Country, Story of the Land of Many-Colored Clouds, Kokumono, Saimono, ColourCloud Palace"
136,One Piece
137,One Piece
138,ONE PIECE
139,OP
140,Glass no Kamen (2005)
141,Glass Mask
142,ガラスの仮面 (2005)
144,Air Gear
145,Air Gear
146,エア・ギア
148,Saiunkoku Monogatari 2nd Season
149,Tales of Saiunkoku
150,彩雲国物語 第2シリーズ
